Frequency,Name,Available,Enabled,Line,Beacon,Power,Direct Conn,Clamp,Induction,broadbandClamp,
50,50Hz,,,,,X,,,,,
60,60Hz,X,X,,,X,,,,,
64,64Hz,,,X,,,,,,,
75,75Hz,,,X,,,,,,,
98,98Hz,,,X,,,,,,,
100,100Hz,,,,,X,,,,,
120,120Hz,X,X,,,X,,,,,
128,128Hz,,,X,,,,,,,
150,150Hz,,,,,X,,,,,
163,163Hz,,,X,,,,,,,
180,180Hz,X,X,,,X,,,,,
208,208Hz,,,X,,,,,,,
220,220Hz,,,X,,,,,,,
256,256Hz,X,,X,,,X,,,X,
263,263Hz,X,X,X,,,X,,,X,
273,273Hz,,,X,,,,,,,
280,280Hz,,,X,,,,,,,
285,285Hz,,,X,,,X,,,X,
300,300Hz,X,,,,X,,,,,
320,320Hz,,,X,,,X,,,X,
340,340Hz,,,X,,,,,,,
380,380Hz,,,X,,,X,,,X,
400,400Hz,,,X,,,,,,,
440,440Hz,X,,X,,,X,,,X,
460,460Hz,,,X,,,X,,,X,
480,480Hz,,,X,,,,,,,
484,484Hz,,,X,,,X,,,X,
491,491Hz,,,X,,,X,,,X,
512,512Hz,X,X,X,X,,X,,,X,
540,540Hz,X,X,,,X,,,,,
560,560Hz,X,,X,,,,,,,
570,570Hz,,,X,,,X,,,X,
577,577Hz,X,,X,,,X,,,X,
604,604Hz,,,X,,,,,,,
624,624Hz,,,X,,,,,,,
640,640Hz,X,,X,X,,X,,,X,
680,680Hz,,,X,,,,,,,
740,740Hz,,,X,,,X,,,X,
760,760Hz,,,X,,,X,,,X,
800,800Hz,,,X,,,,,,,
815,815Hz,X,X,X,,,X,,,X,
870,870Hz,X,X,X,,,X,,,X,
874,874Hz,,,,X,,,,,,
920,920Hz,,,X,,,X,,,X,
940,940Hz,,,X,,,X,,,X,
968,968Hz,,,X,,,X,,,X,
982,982Hz,,,X,,,X,,,X,
1024,1.02k,X,,X,X,,X,,,X,
1170,1.17k,X,X,X,X,,X,,,X,
1450,1.45k,,,X,,,X,,,X,
3140,3.14k,X,X,X,,,X,X,,X,
8010,8.01k,X,X,X,,,X,X,X,X,
8192,8.19k,X,,X,X,,X,X,X,,
8440,8.44k,,,X,,,X,X,X,,
9500,9.5k,,,X,,,,,,,
9820,9.82k,X,,X,,,X,X,X,,
16900,16.9k,,,X,,,,,,,
22500,22.5k,,,X,,,,,,,
29430,29.4k,X,X,X,X,,X,X,X,X,
31468,31.5k,,,X,,,,,,,
32768,32.8k,X,,X,X,,X,X,X,X,
38000,38k,,,X,,,X,X,X,,
44624,44.6k,X,X,X,,,X,X,X,X,
65536,65.5k,X,,X,,,X,X,X,,
78125,78.1k,,,X,,,X,X,X,,
78132,78.1k,,,X,,,,,,,
80430,80.4k,X,,X,,,X,X,X,,
82312,82.3k,,,X,,,,,,,
82488,82.5k,,,X,,,X,X,X,,
83078,83.1k,X,X,X,,,X,X,X,X,
89000,89k,,,X,,,X,X,X,,
117850,118k,,,X,,,,,,,
121000,121k,,,X,,,,,,,
128000,128k,,,X,,,,,,,
131072,131k,X,X,X,,,X,X,X,,
200000,200k,X,,X,,,X,X,X,,

